timestamp,open,high,low,close,volume
2021-01-20,37.3700,41.1899,36.0600,39.1200,33471789
2021-01-19,41.5500,45.5200,36.6400,39.3600,74721924
2021-01-15,38.4900,40.7500,34.0100,35.5000,46866358
2021-01-14,38.0900,43.0600,33.0500,39.9100,93717410
2021-01-13,20.4200,38.6500,20.0300,31.4000,143530129
2021-01-12,19.9600,20.4000,19.3168,19.9500,6999775
2021-01-11,19.4100,20.6500,19.0100,19.9400,14927612
2021-01-08,18.1800,18.3000,17.0800,17.6900,6481960
2021-01-07,18.4700,19.4500,18.0200,18.0800,6129276
2021-01-06,17.3400,18.9800,17.3300,18.3600,6056248
2021-01-05,17.3500,18.0765,17.2300,17.3700,4961457
2021-01-04,19.0000,19.1000,17.1500,17.2500,10022474
2020-12-31,19.2500,19.8000,18.8000,18.8400,6922652
2020-12-30,19.3800,20.0000,18.8500,19.2600,5934391
2020-12-29,20.8200,21.0700,18.5600,19.3800,9241441
2020-12-28,21.3100,21.9700,20.3500,20.9900,8924279
2020-12-24,21.0100,21.4800,19.9500,20.1500,6262174
2020-12-23,20.1700,22.3499,19.1300,20.5700,25830256
2020-12-22,16.2200,20.0400,16.1500,19.4600,30687718
2020-12-21,15.8100,16.3480,15.2800,15.5300,9876128
2020-12-18,15.7800,16.3000,15.1800,15.6300,16618776
2020-12-17,13.9600,14.9800,13.5900,14.8300,8194902
2020-12-16,13.9600,14.3050,13.5800,13.8500,5865123
2020-12-15,12.7800,14.0200,12.4800,13.8500,8192856
2020-12-14,13.3400,13.4335,12.1400,12.7200,10007092
2020-12-11,13.9100,14.0000,13.0200,13.3100,7496868
2020-12-10,13.1200,14.4100,13.0500,14.1200,7558922
2020-12-09,13.9200,14.7300,13.2250,13.6600,24357944
2020-12-08,16.3700,17.2100,15.9300,16.9400,16120163
2020-12-07,17.0000,17.5000,16.2200,16.3500,7386258
2020-12-04,16.3000,17.2900,16.2600,16.9000,8972672
2020-12-03,16.4800,16.6400,15.8700,16.1200,6294965
2020-12-02,15.7000,16.6800,15.3800,16.5800,7883380
2020-12-01,17.1100,17.4000,15.7600,15.8000,12260810
2020-11-30,18.1700,19.4200,16.5575,16.5600,31983498
2020-11-27,15.2900,16.7400,14.8800,16.0800,12504197
2020-11-25,13.6000,15.2500,13.4200,14.7500,8860092
2020-11-24,14.2300,14.2600,13.3000,13.6700,7130536
2020-11-23,12.9000,14.1200,12.6700,13.9000,9607973
2020-11-20,12.5500,13.4600,12.5400,12.7100,8402347
2020-11-19,11.6000,12.7900,11.4500,12.4600,11787613
2020-11-18,11.8000,12.0400,11.5600,11.5700,3169222
2020-11-17,11.6500,11.9200,11.2300,11.6300,6678176
2020-11-16,11.1600,12.6602,10.7200,12.0600,9774824
2020-11-13,11.3600,11.5500,11.0000,11.0100,3546171
2020-11-12,11.7400,11.8700,10.9700,11.1300,4355892
2020-11-11,11.5000,11.9500,11.2100,11.7500,4882569
2020-11-10,11.5000,11.6600,10.8300,11.1000,3825963
2020-11-09,12.7600,12.9300,11.2500,11.4900,6244865
2020-11-06,11.5200,12.1700,11.3200,11.8600,5518243
